instance_index,original_test_index,Gender,Age,Academic_degree,Years_Experience,Years_experience_lastorganization,Sector,MonthlySalary,MedicalInsurance,Bonus,OverTime,Payment_Overtime,Rewards_Wages_Satisfaction,Get_Deserved_Promotion,Training_programs_During_last_three_years,Useful_Training_Programs,Business_Travel,Job_Support,Recognition,Emotional_Commitment,Job_Engagement,Distance_to_work,Work_Live_Balance,Physical_Stress,Psychological_Exhaustion,Job_Stability,Health_Issues,Environment_Satisfaction,Job_Satisfaction,Job_Opportunities,predicted_class,prediction_score,target_saudi
93,456,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,1,1,1,0,0,1,1,0,0,0.33,0
94,1123,0,1,1,0,0,2,3,0,0,1,2,1,1,1,1,0,1,1,1,1,2,1,1,1,1,0,1,1,1,0,0.24,0
95,732,1,1,1,0,0,1,1,1,1,1,2,1,1,1,1,0,2,1,2,1,1,1,1,0,1,1,1,1,0,0,0.06,0
96,234,1,0,0,0,0,1,0,0,1,1,2,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,2,2,0,0,0.27,1
97,1164,1,0,1,1,1,2,2,1,0,1,1,1,1,3,1,1,1,1,2,1,1,1,0,0,1,0,1,1,1,0,0.19,0
98,646,0,2,1,2,2,3,1,0,0,0,0,1,0,3,1,0,0,1,2,1,1,1,2,1,1,0,1,1,0,0,0.07,0
99,651,1,1,0,2,2,2,0,0,0,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0.22,0
100,93,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0.32,0
101,662,1,1,2,2,2,3,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0.29,0
102,394,0,0,0,0,0,5,0,1,0,0,0,1,1,1,1,0,2,1,2,0,1,0,1,0,1,0,2,2,0,0,0.2,0
103,535,0,2,3,2,2,2,2,1,1,1,2,1,1,2,1,0,2,1,1,1,1,1,0,0,1,1,2,2,1,0,0.3,0
104,122,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,2,0,1,2,2,2,0,0,1,1,0,0,0.39,0
105,890,1,1,2,1,1,3,2,0,0,0,0,1,1,2,1,0,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0.07,1
106,750,0,0,1,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0.33,0
