instance_index,original_test_index,predicted_probability,SHAP_Academic_degree,SHAP_Years_Experience,SHAP_Years_experience_lastorganization,SHAP_Sector,SHAP_MonthlySalary,SHAP_MedicalInsurance,SHAP_Bonus,SHAP_OverTime,SHAP_Payment_Overtime,SHAP_Rewards_Wages_Satisfaction,SHAP_Get_Deserved_Promotion,SHAP_Training_programs_During_last_three_years,SHAP_Useful_Training_Programs,SHAP_Business_Travel,SHAP_Job_Support,SHAP_Recognition,SHAP_Emotional_Commitment,SHAP_Job_Engagement,SHAP_Distance_to_work,SHAP_Work_Live_Balance,SHAP_Physical_Stress,SHAP_Psychological_Exhaustion,SHAP_Job_Stability,SHAP_Environment_Satisfaction,SHAP_Job_Satisfaction,SHAP_Job_Opportunities
20,285,0.6,-0.003630668372165358,0.1320178464578336,0.10603461153444774,-0.02453267051852373,-0.01730934144917123,0.009772642814195797,-0.009242223344721379,0.012342744256951995,-0.011417165208390668,0.020886395552091104,-0.05625948262098418,0.012638307925494375,-0.016165610954361767,-0.0011366245591977397,0.01907096147387155,-0.013190265101654337,0.024626260207320567,0.004259886670987471,0.0029231370648290017,-0.0062774354772860315,-0.012939576553571912,0.013227837030595152,0.03684883615897874,-0.01074252636870832,-0.013566374114146813,-0.09874053910879373
21,207,0.68,-0.006631399968972385,0.06412802960921524,-0.07645258069753735,0.04718068884380372,-0.02781306375158638,0.009232430975855032,-0.0035316000861582496,-0.010170090791698781,-0.014147174080911326,0.017344433703314097,0.035337834246109125,0.010179493029273765,0.012210071167412838,-0.002811522323577252,-0.0033930329943164983,0.013023160284499135,0.010698916018097755,-0.0048016894442635795,0.008646762280397811,-0.0021485692733503353,0.0022264163121791156,0.0037960827090613857,0.02602920795667131,0.02201077536564197,-0.05477289234151818,0.10412827664827817
22,347,0.9,-0.0014805322349486553,0.1382601683040739,0.07105325491138995,0.04897994782297602,0.021231251822870067,0.010637170569069335,-0.00017681435356475507,-0.004649412229564595,-0.0015365379376681121,0.015809186706256504,0.015845219424075446,0.02180610571900827,-0.014821107237667702,-0.00853385009300304,0.0052065733534278815,-0.007744959843949603,0.010205033649111827,-0.007482974096930298,-0.004186553589095582,0.007314273415514606,-0.007266022976558756,-0.014027159435154049,0.011919954947374687,-0.012543891139288476,0.008332240488800246,0.09734839742936491
23,1107,0.96,-0.00210893800050965,0.11726778463921508,0.056013024054404975,0.047551903704425,0.0011086350676442818,0.0056647172536242515,-0.0017826567455197155,0.00782850651530258,-0.0033557010700527444,0.017272318794206574,0.02830069600042012,0.02327352232145052,0.018356588322292405,-0.001222456697134654,0.004152458392205448,0.01105492253819753,0.012941924423732046,-0.003861028394573049,0.003610575024380279,-0.0027564740176813022,0.0008344009020848861,-0.006571778486258962,0.023168348483848678,-0.00016439341579367036,0.013991020785456307,0.08893104300055309
24,544,0.88,-0.016175349072235386,0.12546227826158465,0.07477120000092975,-0.018144379472827744,0.014246415452367484,0.008460832821899942,0.0011198918164543085,0.0018775407879986364,0.0054581892271155456,0.019190622940768006,0.015939405800857263,0.02729873588462946,-0.016138203068601177,-0.012460775862195071,0.009717809394757148,-0.009244876874907604,0.018222084132110836,0.013093556632661024,-0.005775397476462956,-0.003375790792463855,0.006354706643990595,0.012191730614472943,0.019284163047327243,0.0002848084069632738,-0.004216368432321381,0.09205613258104793
25,579,0.61,0.00808827033006501,0.06814838902564148,-0.06623189054073722,0.05078064065462098,-0.01478432598294906,0.006591536634910157,-0.000711277794486063,0.0021971545960292084,0.011662260297096487,-0.016629873406110184,-0.059288537353494784,0.07391555350638267,-0.008433913535243196,-0.013049555568770814,-0.02094089312157452,-0.0070644824103198965,-0.05903334787273826,0.034559076914311496,-0.006538435960730989,-0.005596819938004922,0.006901942799643041,0.013479131282923083,-0.025714523413157032,-0.00239218305443198,0.011922787911076035,0.12766227939596933
26,921,0.58,-0.00348655372802021,-0.1528604503315366,0.036035759592737956,-0.014756608907071806,0.008009791743743088,0.011908567875502043,0.003706257056452131,-0.006625505070872826,0.006619231189984103,-0.011147013212421097,0.025266152727856806,0.03176408962843185,-0.02432914477716118,0.00306255335428827,-0.009808427174194738,-0.020201586225709105,0.013225186970609244,0.024405123314048722,-0.004954457812143741,-0.002698857264411526,0.009222900366638814,0.011490277823383995,0.03474237254490102,-0.00012595607609724535,0.0024299838639258203,0.1086052759230561
27,860,0.51,-0.006858267639440854,-0.14811925686166266,0.03838341895428817,-0.01577605786371519,-0.004141093608607125,0.008433427790029355,0.0009735841219875675,0.02329307781273379,0.021367164407877524,-0.00019031243150224067,0.01654202028324776,0.017854563064090893,-0.025020313987472405,0.0012600092883005068,-0.004521380422597124,0.012935703039992752,0.011580229110805102,-0.013919208492963353,-0.008790026862403238,0.01436621880332627,-0.015612319928462829,-0.013418074379349209,0.016538248879555358,-0.0041594956333820396,0.02189209604677047,0.06460500990447313
28,1140,0.52,0.005431113051348992,0.0784731401684699,-0.07984434193775128,-0.02267890165583972,-0.05404178645864778,0.006332998033043161,-0.00022150064105848515,0.006870218892606387,-0.015510829242640956,0.014488212964954283,-0.056326800801295276,0.03691944821153621,-0.010655045105477262,-0.011171161620270107,0.0012360960186409693,-0.00828583805783516,0.014098410794739813,-0.002573672750761367,-0.009922778399518176,-0.002498293618818159,-0.010030710665367978,-0.002184694125417732,0.03212222665387879,0.0017787257630524547,-0.002024775309436641,0.10971950323378536
29,412,0.86,-0.0013583375277347223,0.117286371418847,0.07155715885334492,0.05739657533248177,-0.014272282919386464,-0.01310484550884018,-0.008233129031344929,0.0031225856064985265,-0.000629607781623975,0.008112538226361793,0.02424034617558634,0.01588259265740235,-0.014376923384909472,3.7500439422597834e-05,0.0015006967104197278,0.01632765809011726,0.01894051998521729,-0.0030634966417228604,-0.002954303548825234,-0.0071229520050864106,0.006088859442895935,-0.0022366255550964383,0.016216325816002564,0.0009730417378199724,-0.0012508983817696455,0.07041959518984252
30,438,0.76,0.0023382719567975347,0.12941050379830388,0.0854706514595136,-0.031164543333845232,-0.0007075531912169493,0.0031060581031986355,7.671406542242821e-05,-0.0029631284884159073,-0.019877174328410574,0.010846939702336003,0.02820508826735335,-0.006473445210624662,-0.01448420926354138,-0.01878528166274212,-0.025741350584487604,0.005365312156343718,0.024544741229575257,0.01596090994597866,-0.009550474171439576,-0.006334449436623268,-0.005594583364469709,-0.008342289995296825,0.023924276228152262,0.001081869047768734,-0.001822310092534861,0.08100842055882487
31,587,0.84,-0.0010745894083859827,0.07797486940226045,-0.050369628242863146,0.06169841217396684,0.016957337608166034,0.012119411424614469,0.004904793004961488,0.0010496073797045579,0.002443996775084024,0.036760449548658106,0.05221118512090081,0.04610630239963486,-0.012620457125067368,-0.009766374222180591,0.01573218244639884,-0.005517755855241556,-0.04416513527803369,0.018148481023168343,-0.007563657737790864,-0.0003250639618230403,0.008701065397561145,0.0049325530221340595,-0.03527676912361702,-0.002005804043928961,0.013631343354606678,0.13481220831303103
32,356,0.52,-0.0024782534319888532,0.10982199836960009,0.07668997124199992,-0.016972114957103955,-0.009101828777791124,0.00392667407022877,-0.001167431230836914,-0.0063911867609253836,-0.008570345171426007,0.013606790459753007,0.03762608925863844,0.023330775317081043,0.016670066263186394,-0.004325061353781113,-0.021425922345135233,-0.0039789354136524294,-0.0408907313399129,-0.02949854501364469,-0.005551918128280802,0.043918020653393515,-0.0026321181401470746,0.003465148170567151,-0.03748506794491425,-0.00811886406220222,-0.030442445614256096,-0.08052580072252967
33,997,0.61,-0.0034733971778444683,-0.126353857289125,0.03836261002126008,-0.014326088984988512,-0.013416262865320076,0.005551114750239571,0.0010933308732251634,0.020700478925935514,-0.008072117682660501,0.003196666268014725,0.019327336527326586,0.021390329161832956,-0.013389038744195187,0.002109357132075974,0.005496178993648256,0.022734545375453843,0.01126069439223908,0.024963818432758467,-0.006075794998662812,0.023783324718804698,-0.0004908481897591877,-0.011084253136086054,0.017804066984386024,0.0007911616442492221,0.017363979203485536,0.07025162905962559
34,941,0.79,-0.0019292632336020338,0.11355601895060521,0.07929242332857625,-0.02983823776375716,0.017559412757921423,0.010611092625214192,0.00312963020165289,-0.0009282561272244056,0.01944230550914963,-0.02245536102644385,-0.02500764436620373,0.0018755857408782447,-0.007052940445791198,-0.005021691567521362,0.011222921698730272,-0.0016115894443693719,0.024520427829942036,-0.0011898911945650602,-0.0009458695904521203,0.007923126318986486,0.0040958086876274145,-0.009765383708366925,-0.030732936683080664,-0.000879322175546465,0.004561100445144377,0.1290674966284166
